timestamp,spot,strike,yes_bid,yes_ask,no_bid,no_ask,implied_prob,model_prob,edge_bps,hours_to_expiry,vol
2026-02-23 03:03:09.168000+00:00,64758.93071258205,69000.0,0.0,0.16,0.84,1.0,0.16,0.3447940147496209,1847.940147496209,67.03078666666667,2.5
2026-02-23 04:02:18.792000+00:00,64939.82443268619,69000.0,0.0,0.16,0.84,1.0,0.16,0.3490398213088091,1890.398213088091,66.04478,2.5
2026-02-23 05:02:58.408000+00:00,64795.05744679692,69000.0,0.0,0.16,0.84,1.0,0.16,0.34472413245440603,1847.2413245440603,65.03377555555555,2.5
2026-02-23 06:02:35.984000+00:00,65040.40875534817,69000.0,0.0,0.16,0.84,1.0,0.16,0.35072910077393593,1907.2910077393592,64.04000444444445,2.5
2026-02-23 07:03:56.446000+00:00,65752.54244262996,69000.0,0.0,0.16,0.84,1.0,0.16,0.3694260854749116,2094.2608547491163,63.01765388888889,2.5
2026-02-23 08:02:03.814000+00:00,65939.88775861052,69000.0,0.0,0.16,0.84,1.0,0.16,0.374180572518763,2141.8057251876303,62.04894055555555,2.5
2026-02-23 09:03:21.335000+00:00,65671.16025084569,69000.0,0.0,0.16,0.84,1.0,0.16,0.36643930324189167,2064.393032418917,61.027406944444444,2.5
2026-02-23 10:02:14.214000+00:00,66381.48055124872,69000.0,0.0,0.16,0.84,1.0,0.16,0.38575199716513686,2257.5199716513685,60.04605166666666,2.5
2026-02-23 11:03:04.905000+00:00,66317.29222461591,69000.0,0.0,0.16,0.84,1.0,0.16,0.3836749223306998,2236.749223306998,59.03197083333333,2.5
2026-02-23 12:02:10.689000+00:00,66183.35606348574,69000.0,0.0,0.16,0.84,1.0,0.16,0.37959288693692345,2195.9288693692342,58.04703083333333,2.5
2026-02-23 13:02:24.548000+00:00,66275.63595867298,69000.0,0.0,0.16,0.84,1.0,0.16,0.3818772929298309,2218.772929298309,57.04318111111111,2.5
2026-02-23 14:02:10.812000+00:00,66136.6157746477,69000.0,0.0,0.16,0.84,1.0,0.16,0.3775442743360929,2175.442743360929,56.046996666666665,2.5
2026-02-23 15:02:35.665000+00:00,65914.2830987351,69000.0,0.0,0.16,0.84,1.0,0.16,0.3707160984863701,2107.160984863701,55.04009305555555,2.5
2026-02-23 16:03:22.390000+00:00,65646.15558685549,69000.0,0.0,0.16,0.84,1.0,0.16,0.3624352997359225,2024.3529973592247,54.027113888888884,2.5
2026-02-23 17:03:56.043000+00:00,65381.72366003015,69000.0,0.0,0.16,0.84,1.0,0.16,0.3541303437736216,1941.3034377362162,53.01776583333333,2.5
2026-02-23 18:02:56.115000+00:00,64750.319959430264,69000.0,0.0,0.16,0.84,1.0,0.16,0.3349606667635799,1749.6066676357989,52.0344125,2.5
2026-02-23 19:03:21.655000+00:00,64632.91383942887,69000.0,0.0,0.16,0.84,1.0,0.16,0.3306675896809314,1706.675896809314,51.027318055555554,2.5
